	Control1	Control2	Control3	Control4	Control5	Case1	Case2	Case3	Case4	Case5	Outgroup1	Outgroup2	Outgroup3	Outgroup4	Outgroup5
Amino Acid;Phenylalanine and Tyrosine Metabolism;tyrosine	0.8216	1.0555	1.1773	0.8347	1.1264	0.7589	0.9499	0.4667	0.8659	1.1649	0.945	1.2393	1.3287	1.0501	0.8836
Nucleotide;Pyrimidine Metabolism, Uracil containing;uracil	0.4743	0.7773	0.3563	0.6609	0.6312	0.5776	0.9351	0.7321	0.6789	0.8511	1.2778	2.5941	3.6404	2.9197	2.4095
Nucleotide;Purine Metabolism, (Hypo)Xanthine/Inosine containing;urate	0.6425	1.1053	0.3651	0.2099	0.6128	0.7848	0.3646	0.3785	0.6102	0.8743	1.1157	1.9112	2.233	1.9616	2.618
Amino Acid;Urea cycle, Arginine and Proline Metabolism;urea	1.6281	1.009	0.7993	0.6675	1.1561	0.7785	0.6638	1.2517	0.665	0.7042	0.9587	0.772	1.2623	1.2398	0.7277
Nucleotide;Pyrimidine Metabolism, Uracil containing;uridine	0.9222	1.648	0.9961	0.6183	0.8716	1.2677	0.9605	0.665	1.416	1.0891	0.6086	1.0481	1.0039	1.1231	1.503
Lipid;Fatty Acid Metabolism(Acyl Carnitine);valerylcarnitine	0.7028	2.0115	0.9022	0.4078	0.9798	1.0434	0.4078	0.4078	0.8718	0.9622	0.768	2.4214	1.9135	2.6705	2.6022
Lipid;Fatty Acid Metabolism(Acyl Glycine);valerylglycine	0.9235	1.8194	0.676	0.2805	0.9148	1.616	0.8412	0.9964	1.4159	1.0703	0.8597	0.9872	0.9284	2.2767	1.7913
Amino Acid;Leucine, Isoleucine and Valine Metabolism;valine	1.0073	1.0145	0.9811	0.5215	0.867	0.8717	0.8156	0.9618	0.9342	0.6854	0.9927	1.0489	1.0476	1.0521	1.0993
Peptide;Dipeptide;valylglycine	1.6949	1.4241	1.2807	0.6303	2.5692	1.6878	2.2055	1.059	1.8615	2.0157	1.0342	0.8809	0.6613	0.7176	0.8293
Nucleotide;Purine Metabolism, (Hypo)Xanthine/Inosine containing;xanthine	1.6959	2.3124	1.2389	0.7378	1.4983	1	0.6985	1.0846	1.2813	1.6271	0.0048	0.0764	2.0107	2.1118	1.8455
Nucleotide;Purine Metabolism, (Hypo)Xanthine/Inosine containing;xanthosine	0.836	5.0161	0.7848	0.2779	1.0244	1.553	0.3035	0.7506	1.4451	1.4933	0.1936	1.773	4.1096	5.5066	2.9674
Amino Acid;Tryptophan Metabolism;xanthurenate	1.5246	1.6736	0.6901	0.2335	1.5958	2.0376	0.9985	1.2069	1.2133	1.0015	0.5097	0.6631	0.78	0.9586	1.033
Carbohydrate;Pentose Metabolism;xylose	1.4119	1.0343	1	0.6039	0.2998	0.6615	1.3641	0.2998	0.867	0.8691	1.2068	0.8638	1.0347	1.5202	0.2998
